session_id,priceable,power_kw,energy_kwh,real_slack_h,shift_h,baseline_gco2,optimal_gco2
2_39_79_376_2019-01-07 21:34:57.961055,True,1.8895197438633937,2.459,2.441388888888889,0.0,681.338213306315,681.338213306315
2_39_128_18_2019-01-07 21:46:28.850134,True,4.7519576096555785,4.484,1.478888888888889,0.0,1244.1984026877005,1244.1984026877005
2_39_131_30_2019-01-07 21:52:04.229188,True,2.5638473852721453,10.677,1.1166666666666667,0.0,3010.2103406475653,3010.2103406475653
2_39_78_360_2019-01-07 22:26:48.771620,True,1.8683297180043383,5.742,0.0025,0.0,1618.6734199355246,1618.6734199355246
2_39_127_19_2019-01-07 23:31:27.973382,True,5.11578947368421,2.754,0.001388888888888889,0.0,771.263083008743,771.263083008743
2_39_78_363_2019-01-07 23:35:24.653618,True,2.811868758915834,16.426,0.0025,0.0024999999999977263,4515.529665028589,4515.187643088895
2_39_127_19_2019-01-08 00:39:58.033145,True,3.0052105948762486,3.845,0.0011111111111111111,0.0,1100.9339638573679,1100.9339638573679
2_39_139_28_2019-01-08 01:23:26.254818,True,0.8363186541316179,0.939,0.07472222222222222,0.07472222222222058,267.46047690235645,267.09798941790893
2_39_129_17_2019-01-08 02:22:06.714228,True,3.43684274734659,15.651,7.194166666666667,4.077500000000015,3924.8374613290434,3106.9296949347417
2_39_139_28_2019-01-08 02:47:53.787887,True,4.111254560763402,4.069,0.9588888888888889,0.9588888888888789,1134.169891234385,1079.9385124800915
2_39_127_19_2019-01-08 13:46:16.156198,True,5.635672823218998,26.699,4.368888888888889,3.228888888888889,7038.424342683688,6998.4631407754905
2_39_78_365_2019-01-08 15:08:06.978462,True,4.3106815203145485,14.618,6.6675,1.8647222222222126,3863.9087437199673,3796.876004745032
2_39_79_379_2019-01-08 15:18:16.158120,True,1.0842378841155786,15.76,0.0011111111111111111,0.0011111111111006267,4026.975514730142,4026.8987559707343
2_39_79_377_2019-01-08 15:56:18.794401,True,0.5159499358151476,5.359,0.0011111111111111111,0.0011111111111290484,1411.891255737365,1411.8869378970087
2_39_123_23_2019-01-08 15:58:42.988850,True,2.7422113392352605,4.044,5.894444444444445,1.021388888888879,1079.697747856256,1044.0373321630263
2_39_139_28_2019-01-08 16:02:12.121184,True,0.29596854644680476,2.802,0.001388888888888889,0.0013888888888970996,739.0968621694924,739.0918270331528
2_39_131_30_2019-01-08 16:14:34.602997,True,1.098919390563125,4.548,2.7280555555555557,0.7569444444444571,1190.6549237593806,1187.6650210718026
2_39_91_437_2019-01-08 16:21:11.243402,True,5.2611570247933885,13.793,7.633055555555556,0.6469444444444434,3606.175157830474,3567.3526704771816
2_39_138_29_2019-01-08 16:29:03.335236,True,3.186120204268692,6.759,6.58,0.5158333333333474,1766.3953353489196,1746.3873525090694
2_39_95_27_2019-01-08 16:37:36.739428,True,3.220528771384137,5.177,7.350555555555555,0.3730555555555668,1351.678530560218,1336.7530844890323
2_39_90_440_2019-01-08 16:46:13.426822,True,1.5658252427184467,0.896,4.258333333333334,0.22972222222222172,235.84001696941868,231.1112103004298
2_39_78_366_2019-01-08 16:47:37.212796,True,0.3758847198816934,3.036,0.03138888888888889,0.031388888888869815,799.7075295696718,799.6137990049805
2_39_79_381_2019-01-08 16:51:46.297174,True,2.4213212421574313,12.757,0.0038888888888888888,0.003888888888894826,3352.902336893495,3352.8676760284557
2_39_92_442_2019-01-08 16:54:18.559070,True,2.649261553120534,23.17,0.43805555555555553,0.09472222222223081,6092.916528065701,6089.8427331588355
2_39_78_363_2019-01-08 16:57:46.658847,True,3.1757142857142853,26.676,0.0030555555555555557,0.0030555555555622504,7017.164687835831,7017.045829463509
2_39_89_25_2019-01-08 17:01:38.860388,True,2.5155450076284116,4.122,5.476666666666667,0.0,1064.4268076427343,1064.4268076427343
2_39_128_562_2019-01-08 17:18:57.453853,True,2.7013608870967745,5.955,6.738888888888889,0.0,1540.470632912522,1540.470632912522
2_39_91_441_2019-01-08 17:38:59.954666,True,5.0492070082205425,16.891,0.0011111111111111111,0.0,4415.8364361670465,4415.8364361670465
2_39_79_380_2019-01-08 17:43:14.726206,True,2.011529933481153,8.064,4.714166666666666,4.714166666666671,2119.7382628704845,2114.2835950776825
2_39_79_383_2019-01-08 17:49:37.783470,True,0.23921497365073596,2.194,0.09638888888888889,0.09638888888886754,576.6606232918509,576.3784033246036
2_39_95_444_2019-01-08 17:49:47.828927,True,2.1066937119675453,2.308,7.083611111111111,0.0,596.728144890878,596.728144890878
2_39_90_26_2019-01-08 17:50:25.630471,True,1.746879080699922,1.858,8.516666666666667,8.516666666666652,480.38874397561506,472.2373038240221
